X,Y,OBJECTID,PROGRAM_NAME,DESCRIPTION,WEBSITE_URL,CITY,STATE,ACCESSIBILITY_SERVICES,ADULT_LITERACY,ART_THERAPY,ASSESSMENT,BORROW_MATERIALS,CASE_MANAGEMENT,CHILD_CARE,CLOTHING,COMPUTERS,DENTAL_SERVICES,DOCUMENTATION_ASSISTANCE,DOMESTIC_VIOLENCE_SERVICES,FOOD_GROCERIES,GROUPS,HAIRCUTS,HARM_REDUCTION,HIV_TESTING,HOUSING,HOUSING_NAVIGATION,INCOME_TAX_HELP,LAUNDRY,LIBRARY_CARD,LEGAL_SERVICES,MEDICAL_BENEFITS,MEDICAL_SERVICES,MAIL,MEALS,MENTAL_HEALTH,MINISTRY,PHONE,PUBLIC_RESTROOMS,REFRESHMENTS,SHOWERS,SNAP_FOOD_STAMPS,STORAGE,SUBSTANCE_ABUSE_TREATMENT,SUPPORTED_EMPLOYMENT,TANF_FINANCIAL_ASSISTANCE,TRANSPORTATION,VOCATIONAL_TRAINING,CLIENTS_SERVED_PER_DAY,TARGET,OPEN_TO_PUBLIC,HOURS_OF_OPERATION,RECORD_LAST_UPDATED,LATITUDE,LONGITUDE,LGBTQ_FOCUSED,PHONE_NUMBER,XCOORD,YCOORD,WARD,NAME,ADDRESS,ZIPCODE,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.027250124171,38.9411141853705,11,Taylor Street Service Center,,https://dcdhs.dc.gov/node/117522,Washington ,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,Men & Women,,,2017/09/12 04:00:00+00,38.94110672,-77.02724783,,,397637.78,141468.81,Ward 4,Department of Human Services,1207 TAYLOR STREET NW,20011,283934,HomelessServicePt_11,{10E9BAB8-2D7A-4E85-80F5-147236281B51},,,,
-77.0357501324983,38.9334872704577,12,Morning Program,,https://www.thrivedc.org/,Washington ,DC,,,Yes,,,Yes,,Yes,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,,,,,,Yes,,,,,,,,200,Men & Women,Yes,,2017/09/12 04:00:00+00,38.93347981,-77.03574784,,,396900.55,140622.41,Ward 1,ThriveDC,1525 NEWTON STREET NW,20010,234587,HomelessServicePt_12,{A24D9EF5-B127-456C-BC66-4121A986407B},,,,
-76.9919195048167,38.9327094574821,13,Refugee Center,,https://www.catholiccharitiesdc.org/refugee/,Washington ,DC,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,2017/09/12 04:00:00+00,38.932702,-76.99191722,,,400700.81,140535.49,Ward 5,Catholic Charities,1018 MONROE STREET NE,20017,75480,HomelessServicePt_13,{4B55DCA8-D50B-4296-B17C-56DBAFABEFBE},,,,
-77.0360539439648,38.9319227044952,14,Emergency Brief Services,,http://www.thefamilyplacedc.org/?page_id=204,Washington ,DC,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Women ,Yes,,2017/09/12 04:00:00+00,38.93191525,-77.03605165,,,396874.14,140448.74,Ward 1,The Family Place,3309 16TH STREET NW,20010,234409,HomelessServicePt_14,{834FC211-B62D-4C69-809E-A08E7E9A2C39},,,,
-76.9920860871925,38.9313197573153,15,Anchor Counseling Services,,https://www.catholiccharitiesdc.org/behavioralhealth/,Washington ,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,2017/09/12 04:00:00+00,38.9313123,-76.9920838,,,400686.38,140381.22,Ward 5,Catholic Charities,1001 LAWRENCE STREET NE,20017,289589,HomelessServicePt_15,{3355A5F1-8179-4AD3-A6D9-ADBE49EE28AF},,,,
-77.0356967830825,38.9310555842425,16,Dinner Program,,http://dinnerprogram.org/,Washington ,DC,,,,,,,,Yes,,,,,,,Yes,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,100,Men & Women,Yes,,2017/09/12 04:00:00+00,38.93104813,-77.03569449,,,396905.07,140352.47,Ward 1,Sacred Heart,3211 PINE STREET NW,20010,234407,HomelessServicePt_16,{733FDA9B-67C5-4BC2-A180-1F05A209F6A3},,,,
-77.0371468980721,38.9304751773138,17,Mt. Pleasant Library,,https://www.dclibrary.org/node/10386,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.93046772,-77.0371446,,,396779.31,140288.09,Ward 1,DC Public Library,3160 16TH STREET NW,20010,295138,HomelessServicePt_17,{DDC98471-706F-467B-A43E-78C3D0CB111F},,,,
-77.0358291791797,38.9282910729717,18,DC Safe Housing Drop-In Center,,http://www.layc-dc.org/what-we-do/safe-housing/outreach-intake/,Washington ,DC,,,,Yes,,Yes,,Yes,Yes,,,,Yes,,,,,Yes,Yes,,Yes,,,,,,,Yes,,,,Yes,Yes,,Yes,,,,,Yes,,Youth,Yes,,2017/09/12 04:00:00+00,38.92828361,-77.03582688,,,396893.47,140045.59,Ward 1,Latin American Youth Center (LYAC),3045 15TH STREET NW,20009,289222,HomelessServicePt_18,{E60DBACB-D377-4CB3-AC2B-DEBC03F3E4A1},,,,
-77.0330325451969,38.9281774913359,19,Upper Cardozo Health Center (Ward 1),,https://unityhealthcare.org/find-a-center/,Washington,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.92817003,-77.03303025,,,397135.96,140032.89,Ward 1,Unity Health,3020 14TH STREET NW,20009,242939,HomelessServicePt_19,{E07D13F7-DD13-47A0-9365-A896120E07F6},,,,
-76.9786279341994,38.9274481906985,20,Woodridge Library,,https://www.dclibrary.org/node/10412,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.92744073,-76.97862566,,,401853.38,139951.63,Ward 5,DC Public Library,1801 HAMLIN STREET NE,20018,286483,HomelessServicePt_20,{A3298B8E-6A74-4FED-91F0-AD5A81185CC0},,,,
-77.0231594748953,38.9267655595328,21,Drop-Inn Safe Center,,http://www.casaruby.org/drop.html,Washington ,DC,,,,Yes,,Yes,,Yes,Yes,,,,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,25,Youth,Yes,,2017/12/19 05:00:00+00,38.9267581,-77.02315718,Yes,,397992.01,139875.89,Ward 1,Casa Ruby,2822 GEORGIA AVENUE NW,20001,232586,HomelessServicePt_21,{A75E0C8F-DB1D-4D47-961F-2EE3A86F403F},,,,
-77.0336524017694,38.9261616136832,22,Social Services,,http://salvationarmynca.org/ways-we-help/families-in-need/,Washington ,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,,,2017/09/12 04:00:00+00,38.92615416,-77.03365011,,,397082.13,139809.13,Ward 1,The Salvation Army,1434 HARVARD STREET NW,20009,234319,HomelessServicePt_22,{AC370922-78B7-48E8-92DC-918389FFD544},,,,
-76.9836222402824,38.9260110897589,23,Community Resource & Referral Center,,https://www.washingtondc.va.gov/locations/Community_Resource_and_Referral_Center_CRRC.asp,Washington,DC,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.92600363,-76.98361996,,,401420.35,139792.01,Ward 5,Department of Veterans Affairs,1500 FRANKLIN STREET NE,20018,62549,HomelessServicePt_23,{F075FA8A-CAC7-4B32-84E8-7301EA8E1796},,,,
-77.0388127052017,38.9248983085726,24,Columbia Road Health Services (Ward 1),,https://unityhealthcare.org/find-a-center/,Washington,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.92489085,-77.03881041,,,396634.61,139669.07,Ward 1,Unity Health,1660 COLUMBIA ROAD NW,20009,276384,HomelessServicePt_24,{100AB94A-1EE3-48B4-8B51-ABAB59318F1B},,,,
-77.0399906975995,38.9248554821976,25,Medical Care & Housing Services,,http://christhouse.org/,Washington ,DC,,,Yes,,,Yes,,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.92484802,-77.0399884,,,396532.46,139664.36,Ward 1,Christ House,1717 COLUMBIA ROAD NW,20009,235976,HomelessServicePt_25,{BA70CF97-A4A0-401F-866F-28A68A7E8D13},,,,
-76.9930544644001,38.9225693210161,26,Virginia Williams Family Resource Center,,https://dcdhs.dc.gov/page/virginia-williams-family-resource-center,Washington ,DC,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Families,,,2017/09/12 04:00:00+00,38.92256186,-76.99305218,,,400602.49,139409.84,Ward 5,Department of Human Services,920 RHODE ISLAND AVENUE NE,20018,289074,HomelessServicePt_26,{C6B457BC-3829-4C72-9EEF-9EFFBD628625},,,,
-76.9893549498708,38.9216876682283,27,Brentwood Health Center (Ward 5),,https://unityhealthcare.org/find-a-center/,Washington,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.92168021,-76.98935267,,,400923.31,139312,Ward 5,Unity Health,1251 SARATOGA AVENUE NE,20018,69666,HomelessServicePt_27,{FE315190-B255-47AE-91E7-689C46578FDC},,,,
-77.0311316283866,38.9200501653893,28,Whitman-Walker WeWork Manhattan Laundry,,https://www.whitman-walker.org/location/whitman-walker-wework/,Washington,DC,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017/12/19 05:00:00+00,38.92004237,-77.03112933,Yes,,397300.48,139130.63,Ward 1,Whitman Walker Health,1342 FLORIDA AVENUE NW,20009,314690,HomelessServicePt_28,{9F198955-D1D4-4BFA-9AF4-2CC87042D067},,,,
-76.9748785462361,38.9196297529813,29,Adams Place Drop-In Center,,https://dcdhs.dc.gov/page/drop-center,Washington ,DC,,,,,,Yes,,Yes,Yes,,,,,,Yes,,,,Yes,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,Yes,125,Men & Women,Yes,,2017/09/12 04:00:00+00,38.91962229,-76.97487627,,,402178.73,139083.8,Ward 5,Department of Human Services,2210 ADAMS PLACE NE,20018,50358,HomelessServicePt_29,{39B8EB15-37F0-4354-B67B-9EC17B219AD5},,,,
-77.0971769529129,38.9183892524673,30,Palisades Library,,https://www.dclibrary.org/node/10392,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.9183818,-77.09717464,,,391572.87,138950.28,Ward 3,DC Public Library,4901 V STREET NW,20007,224474,HomelessServicePt_30,{D14871E3-0A0C-47E9-9CCE-99EE58093344},,,,
-76.9741716263651,38.9178489223054,31,Emergency Assistance,,http://salvationarmynca.org/ways-we-help/families-in-need/,Washington ,DC,,,,,,Yes,,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,2017/09/12 04:00:00+00,38.91784146,-76.97416935,,,402240.09,138886.13,Ward 5,Salvation Army,2100 NEW YORK AVENUE NE,20002,286616,HomelessServicePt_31,{A14C0824-5381-407E-93BA-0391D03ABDE1},,,,
-77.0283326740419,38.9167469822594,32,Legal Assistance Project,,http://www.legalclinic.org/,Washington ,DC,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Men & Women,Yes,,2017/12/19 05:00:00+00,38.91673953,-77.02833038,,202-328-5500,397543.09,138763.87,Ward 1,The Washington Legal Clinic for the Homeless,1200 U STREET NW,20009,240812,HomelessServicePt_32,{BC058349-EDD3-42B9-B7D0-D9B2E0A6C947},,,,
-77.0335619380205,38.9165009308915,33,Administrative Office,,https://mysistersplacedc.org/,Washington ,DC,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Women,By Appointment,,2017/09/12 04:00:00+00,38.91649347,-77.03355964,,,397089.58,138736.71,Ward 2,My Sister's Place,1436 U STREET NW,20009,301293,HomelessServicePt_33,{647BCD99-816E-476A-BC6D-D945AEB6DC12},,,,
-77.0660096107547,38.9134420170658,34,Georgetown Library,,https://www.dclibrary.org/node/10378,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.91343456,-77.06600731,,,394275.35,138398.68,Ward 2,DC Public Library,3260 R STREET NW,20007,295142,HomelessServicePt_34,{CE3F2EDC-CC9F-4E30-A67C-4700C84C4930},,,,
-77.0222206484061,38.9124496162898,35,Shaw Library,,https://www.dclibrary.org/node/10408,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.91244216,-77.02221836,,,398073.03,138286.68,Ward 2,DC Public Library,1630 7TH STREET NW,20001,308201,HomelessServicePt_35,{D82BF16A-8384-4918-867F-15E269B06F64},,,,
-77.0061712656159,38.9108218674499,36,Administrative Office & Health Clinic,,https://www.pathwaystohousingdc.org/,Washington ,DC,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,,,,,Yes,,,Yes,,,,,,,,,Yes,,,,,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.91081441,-77.00616898,,,399464.96,138105.77,Ward 5,Pathways to Housing,101 Q STREET NE,20002,75978,HomelessServicePt_36,{C92F9C80-3316-43E4-A9DA-46996A8B946D},,,,
-77.0316340755093,38.9104828174151,37,Whitman Walker 1525,,https://www.whitman-walker.org/location/1525-14th-st-nw/,Washington ,DC,,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,Men & Women,By Appointment,,2017/12/19 05:00:00+00,38.91047536,-77.03163178,Yes,,397256.54,138068.59,Ward 2,Whitman Walker Health,1525 14TH STREET NW,20005,300332,HomelessServicePt_37,{93070371-722E-40D7-818B-9DBCABF8DAD2},,,,
-77.0216272404835,38.9103394334506,38,Northwest Center,,https://breadforthecity.org/,Washington ,DC,,,,,,Yes,,,,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,Yes,,,Yes,,,,,,Yes,,Yes,,Yes,,,65.92876712,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.91033198,-77.02162495,,,398124.44,138052.42,Ward 2,Bread for the City,1525 7TH STREET NW,20001,297622,HomelessServicePt_38,{4257C982-CF29-4AA7-97B2-54D20AAA5797},,,,
-77.0368817921228,38.9100414012351,39,ID & Walk-In Ministry,,http://www.foundryumc.org/walk-mission,Washington ,DC,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,36,Men & Women,Yes,,2017/09/12 04:00:00+00,38.91003395,-77.0368795,,,396801.38,138019.76,Ward 2,Foundry United Methodist,1500 16TH STREET NW,20036,243309,HomelessServicePt_39,{F7693E71-B90E-416D-9432-B9D2B2401AA0},,,,
-77.0070618185128,38.9094557016634,40,Assessment and Referral Center (ARC),,https://dbh.dc.gov/service/treatment-services,Washington ,DC,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2017/09/12 04:00:00+00,38.90944791,-77.00705953,,,399387.71,137954.12,Ward 5,Department of Behavioral Health,75 P STREET NE,20002,313290,HomelessServicePt_40,{099595EE-2EBD-4A46-BA55-166047581339},,,,
-77.0069658644426,38.9091816735653,41,Family Services Administration,,https://dcdhs.dc.gov/service/homeless-and-homeless-prevention-services,Washington ,DC,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,,,2017/09/12 04:00:00+00,38.90917422,-77.00696358,,,399396.03,137923.7,Ward 5,Department of Human Services,64 NEW YORK AVENUE NE,20002,289616,HomelessServicePt_41,{965CB1C5-741F-4EF6-B56F-E2DE15F0E367},,,,
-77.0069658529129,38.9091816735659,42,Shelter Hotline,,https://dhs.dc.gov/service/hypo-hyperthermia-watch,Washington ,DC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Men & Women,,24 Hours,2017/12/19 05:00:00+00,38.909174,-77.006964,,202-399-7093,399396.03,137923.7,Ward 5,Department of Human Services,64 NEW YORK AVENUE NE,20002,289616,HomelessServicePt_42,{3EAD74E3-06A0-46DA-B20C-8E3C61C4AFCF},,,,
-77.0114340352609,38.9089254846446,43,"Dining, Shower, and Clothing Programs",,http://some.org/services/dining-clothing-and-shower-rooms/,Washington ,DC,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,400,Men & Women,Yes,,2017/09/12 04:00:00+00,38.90891803,-77.01143175,,,399008.49,137895.3,Ward 5,S.O.M.E. ,71 O STREET NW,20001,236922,HomelessServicePt_43,{D3A31AD9-33F1-4AF2-98F4-2836BD1043F5},,,,
-76.932157842564,38.9084524186282,44,Deanwood Library,,https://www.dclibrary.org/node/10374,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.90844496,-76.93215558,,,405884.39,137844.91,Ward 7,DC Public Library,1350 49TH STREET NE,20019,307551,HomelessServicePt_44,{3BA72866-AEB8-491F-90DA-A8BBE55D82F2},,,,
-77.0111029141157,38.9082495302713,45,Medical & Behavioral Health Clinic,,http://some.org/services/health-services/,Washington ,DC,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,2017/09/12 04:00:00+00,38.90824208,-77.01110063,,,399037.2,137820.26,Ward 5,S.O.M.E. ,60 O STREET NW,20001,236940,HomelessServicePt_45,{B285AC4F-7230-4DA7-905D-1DFBBB96452B},,,,
-77.0114321661967,38.9080545578815,46,Isaiah House Day Program,,http://some.org/services/mental-health-services/#IH,Washington ,DC,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,Yes,,,,,,,,50,Men & Women,Yes,,2017/09/12 04:00:00+00,38.9080471,-77.01142988,,,399008.64,137798.62,Ward 5,S.O.M.E. ,75 HANOVER PLACE NW,20001,279927,HomelessServicePt_46,{BDE11BAF-EC0B-47AB-9BB7-4C4A8CD08FAE},,,,
-77.031427907344,38.9075735375839,47,Bethany Women's Day Center,,http://www.nstreetvillage.org/about-the-village/programs-impact/healthy-meals-basic-needs/,Washington ,DC,,,,,,Yes,,Yes,Yes,,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,Yes,,,,,,,Yes,75,Women,Yes,,2017/09/12 04:00:00+00,38.90756608,-77.03142561,,,397274.31,137745.63,Ward 2,N Street Village,1333 N STREET NW,20005,298405,HomelessServicePt_47,{478B8E36-3E1F-42D5-9301-E3DF45C4EC7E},,,,
-77.0076747834658,38.9066587513474,48,Walker Jones Health Center (Ward 6),,https://unityhealthcare.org/find-a-center/,Washington,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.9066513,-77.0076725,,,399334.52,137643.64,Ward 6,Unity Health,40 PATTERSON STREET NE,20002,28515,HomelessServicePt_48,{DCDE2D11-99AB-4126-BB2D-4A68363CC095},,,,
-77.0326028313198,38.9064788813193,49,Childcare Center,,https://houseofruth.org/our-programs/childcare-center/,Washington ,DC,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Children,No,,2017/09/12 04:00:00+00,38.90647143,-77.03260054,,,397172.36,137624.15,Ward 2,House of Ruth,5 THOMAS CIRCLE NW,20005,243014,HomelessServicePt_49,{7602B346-5C2D-41EB-8F5B-C2D48A024FD7},,,,
-77.0133530574804,38.9053873421559,50,The Next Step Program (Perry School Center),,https://www.samaritanministry.org/program,Washington ,DC,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,,,,Yes,,,Yes,,,Yes,Yes,,,,Yes,,Yes,,Yes,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.90537989,-77.01335077,,,398841.99,137502.56,Ward 6,Samaritan Ministry of Greater Washington,128 M STREET NW,20001,279016,HomelessServicePt_50,{BBB01549-B1E0-4AB6-BC82-2A94BF2DA537},,,,
-77.0133530574804,38.9053873421559,51,Early Child Care Program,,http://www.brightbeginningsinc.org/,Washington ,DC,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Children,Yes,,2017/09/12 04:00:00+00,38.90537989,-77.01335077,,,398841.99,137502.56,Ward 6,Bright Beginnings,128 M STREET NW,20001,279016,HomelessServicePt_51,{FC670C46-DDB5-4047-97A0-13D2AFDE80F3},,,,
-77.0293156013416,38.9042051435335,52,Administrative Office,,http://www.dccfh.org/,Washington ,DC,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017/09/12 04:00:00+00,38.90419769,-77.02931331,,,397457.4,137371.65,Ward 2,Coalition for the Homeless,1234 MASSACHUSETTS AVENUE NW,20005,240920,HomelessServicePt_52,{4F1AEA75-238A-47ED-A323-50307559A790},,,,
